Years;Cluster Id;Cluster generic legend;Cluster specific legend;Terms id;Pseudo-Inclusion;Cluster Size;Density;Number of fathers;Number of sons
1992 1995;0;899;1073;1016 1073 1129 1130 1132 1200 562 680 711 899;0;0;0;0;1
1992 1995;1;9;46;46 562 680 9 573 693 275;0;0;0;0;1
1992 1995;2;682;472;956 1166 472 682 864 917 840 233 554;0;0;0;0;0
1992 1995;3;843;782;1030 946 1109 1119 1200 1322 782 843 1083 1194;0;0;0;0;1
1992 1995;4;1118;1125;1209 1125 1118 1135 1364;0;0;0;0;0
1992 1995;5;807;640;1234 1132 218 640 807 1148 917 840;0;0;0;0;0
1992 1995;6;62;117;62 117 240 133 221;0;0;0;0;1
1992 1995;7;430;420;430 605 963 506 905 986 341 394 420 604 451;0;0;0;0;0
1992 1995;8;47;79;231 47 79 347 214;0;0;0;0;0
1992 1995;9;722;880;100 722 880 885 954;0;0;0;0;0
1992 1995;10;767;377;1145 377 501 767 1238;0;0;0;0;0
1992 1995;11;1107;977;1285 1107 1198 345 402 977;0;0;0;0;0
1992 1995;12;409;975;1072 409 771 800 975 1114;0;0;0;0;0
1992 1995;13;1249;1296;172 1081 1249 1296 1426 1453;0;0;0;0;0
1992 1995;14;1367;1521;1094 1356 1367 1521 1537 1568;0;0;0;0;0
1992 1995;15;1399;1289;1239 1426 1289 1408 1422 1399 1473;0;0;0;0;0
1992 1995;16;1117;421;421 948 1117 1128 1214;0;0;0;0;0
1992 1995;17;1126;1381;1303 1155 1126 1381 1454 1469 1492 321 375;0;0;0;0;0
1992 1995;18;994;910;1252 1131 1362 1221 1348 412 823 881 910 994 1196 1197 1329 906;0;0;0;0;1
1992 1995;19;131;401;1017 131 37 401 905 914 448 137 509 600 621 631 704;0;0;0;0;1
1992 1995;20;51;192;305 192 15 51 145 456;0;0;0;0;0
1992 1995;21;259;439;630 905 670 709 579 794 365 550 259 439 482 674 723;0;0;0;0;1
1992 1995;22;38;671;671 774 38 688 744 853 588 743 921;0;0;0;0;1
1992 1995;23;1001;980;1001 1056 1079 622 980;0;0;0;0;1
1992 1995;24;735;650;1109 103 650 706 735 757 797 1043 1092 835;0;0;0;0;0
1992 1995;25;471;830;1072 1252 471 647 830;0;0;0;0;1
1992 1995;26;310;646;1130 1280 1087 1147 1394 1440 1467 310 646 908 110 276 370 533 575;0;0;0;0;1
1992 1995;27;1405;1259;1259 1258 1474 1416 1263 1405 774;0;0;0;0;0
1992 1995;28;1282;1316;1396 900 934 1534 1282 1283 1316 1421 1424 1437;0;0;0;0;1
1992 1995;29;1284;1290;1291 1307 1339 1284 1290 860 898;0;0;0;0;0
1992 1995;30;135;13;305 140 313 311 278 346 13 135 136 332 40;0;0;0;0;0
1992 1995;31;613;208;613 802 714 829 587 861 208 414 906;0;0;0;0;1
1992 1995;32;473;324;581 16 324 473 550 688;0;0;0;0;0
1992 1995;33;331;426;1024 331 426 773 898 163 224 419 436 760 861;0;0;0;0;1
1992 1995;34;164;225;490 509 164 225 500;0;0;0;0;0
1992 1995;35;20;185;573 276 370 835 20 185 380 446 461 744;0;0;0;0;1
1992 1995;36;521;687;687 688 500 177 521;0;0;0;0;0
1992 1995;37;597;568;597 877 905 621 551 790 753 568;0;0;0;0;0
1992 1995;38;690;655;1011 1019 1080 1226 1278 1279 1303 1382 406 655 690 882 762;0;0;0;0;1
1992 1995;39;440;364;630 495 595 623 364 440 507;0;0;0;0;0
1992 1995;40;268;263;728 711 757 506 581 263 268 36;0;0;0;0;0
1992 1995;41;94;12;413 678 210 12 159 180 278 714 94;0;0;0;0;1
1992 1995;42;755;673;1003 1030 673 755 946 944 906 522 954;0;0;0;0;1
1992 1995;43;1057;1039;1075 1039 1057 1155 1258 351 963 991;0;0;0;0;0
1992 1995;44;625;393;706 757 625 59 777 393;0;0;0;0;0
1992 1995;45;1105;373;1127 1175 1105 1133 1221 1427 1462 212 373;0;0;0;0;0
1992 1995;46;660;112;112 660 877 900 905;0;0;0;0;0
1992 1995;47;973;524;1075 1109 1269 1423 797 524 84 973 1408 1364 905 1179 1193 1432;0;0;0;0;1
1992 1995;48;825;602;734 825 905 950 957 602;0;0;0;0;0
1992 1995;49;548;537;1131 681 552 581 651 931 940 138 537 548;0;0;0;0;1
1992 1995;50;546;491;546 793 881 491 907;0;0;0;0;0
1992 1995;51;17;499;17 499 122 490 599 615;0;0;0;0;0
1992 1995;52;934;900;1198 112 900 934 956;0;0;0;0;0
1992 1995;53;17;249;17 237 370 122 249 346;0;0;0;0;1
1992 1995;54;167;181;181 462 369 579 167 177 211;0;0;0;0;0
1992 1995;55;90;380;896 90 533 835 567 380 749 56;0;0;0;0;0
