Years;Cluster Id;Cluster generic legend;Cluster specific legend;Terms id;Pseudo-Inclusion;Cluster Size;Density;Number of fathers;Number of sons 
305 318;3933;4;5;4 5 1619 2023;1;1;1;1;0 
305 318;3964;43;1287;1 43 531 966 1287 1497 1874;1;1;1;1;0 
305 318;3986;57;1104;57 649 1104 1350;1;1;1;1;0 
305 318;3993;69;1698;69 1408 1483 1573 1698;1;1;1;1;0 
305 318;3995;69;1179;69 1179 1710 2217;1;1;1;1;0 
305 318;4004;84;1237;84 490 538 710 1237;1;1;1;1;0 
305 318;4023;99;1863;33 99 1863 2257;1;1;1;1;0 
305 318;4026;745;826;99 745 826 1958 2257;1;1;1;1;0 
305 318;4089;180;826;180 826 1895 2257;1;1;1;1;0 
305 318;4098;195;730;179 195 730 1069;1;1;1;1;0 
305 318;4134;251;1179;94 251 1179 2217;1;1;1;1;0 
305 318;4138;144;488;144 177 256 488;1;1;1;1;0 
305 318;4143;554;421;259 421 554 1662;1;1;1;1;0 
305 318;4146;267;1058;267 287 1058 1375;1;1;1;1;0 
305 318;4172;1246;826;298 826 1246 1895 2257;1;1;1;1;0 
305 318;4221;342;826;342 826 1895 2257;1;1;1;1;0 
305 318;4244;362;531;1 362 531 1497 2233;1;1;1;1;0 
305 318;4281;809;2027;443 809 952 1557 2027;1;1;1;1;0 
305 318;4283;448;611;41 448 611 824 2135;1;1;1;1;0 
305 318;4288;454;1858;454 563 1485 1858;1;1;1;1;0 
305 318;4292;1386;181;181 367 457 1386 1896;1;1;1;1;0 
305 318;4293;20;1239;20 457 1239 1386 1517 1732;1;1;1;1;0 
305 318;4294;20;1858;20 457 1485 1858;1;1;1;1;0 
305 318;4320;498;826;498 826 1895 2257;1;1;1;1;0 
305 318;4351;534;1104;534 649 1104 1261 1350;1;1;1;1;0 
305 318;4405;156;2099;156 369 594 2099;1;1;1;1;0 
305 318;4460;655;1179;655 1179 2217 2220;1;1;1;1;0 
305 318;4534;745;826;745 826 1895 2257;1;1;1;1;0 
305 318;4540;747;15;15 492 747 1165;1;1;1;1;0 
305 318;4549;757;422;317 422 720 757;1;1;1;1;0 
305 318;4621;855;1255;325 732 855 1255;1;1;1;1;0 
305 318;4622;855;1255;855 1255 1268 1653;1;1;1;1;0 
305 318;4629;859;2233;531 859 966 2233;1;1;1;1;0 
305 318;4639;885;324;208 324 885 1286;1;1;1;1;0 
305 318;4640;885;907;208 885 907 1286;1;1;1;1;0 
305 318;4645;885;85;85 885 1286 1921;1;1;1;1;0 
305 318;4665;1531;730;179 730 918 1069 1462 1531;1;1;1;1;0 
305 318;4683;925;611;41 611 824 925 2135;1;1;1;1;0 
305 318;4750;1720;2015;1034 1720 1937 2015;1;1;1;1;0 
305 318;4758;1051;1315;763 1051 1117 1315;1;1;1;1;0 
305 318;4808;1096;867;867 1096 1123 1265 2053;1;1;1;1;0 
305 318;4833;1129;1104;649 1104 1129 1350;1;1;1;1;0 
305 318;4845;1246;482;292 298 482 744 1153 1246;1;1;1;1;0 
305 318;4853;1159;1165;492 1159 1165 2122;1;1;1;1;0 
305 318;4874;1198;1104;649 1104 1198 1350;1;1;1;1;0 
305 318;4906;1221;2233;531 966 1221 2233;1;1;1;1;0 
305 318;4919;911;2217;911 1179 1242 2217;1;1;1;1;0 
305 318;4956;1278;177;144 177 256 1278;1;1;1;1;0 
305 318;5008;1311;476;476 932 1213 1311;1;1;1;1;0 
305 318;5014;2250;507;507 1316 1506 2250;1;1;1;1;0 
305 318;5016;1325;85;85 1325 1673 1921;1;1;1;1;0 
305 318;5052;1390;1989;143 435 1390 1743 1818 1989 2276;1;1;1;1;0 
305 318;5063;1406;828;316 828 1364 1406;1;1;1;1;0 
305 318;5069;1483;1698;1408 1483 1679 1698;1;1;1;1;0 
305 318;5084;1817;1224;488 1224 1429 1817;1;1;1;1;0 
305 318;5089;1432;1010;395 410 1010 1432;1;1;1;1;0 
305 318;5090;1437;888;679 888 1437 1658 1660;1;1;1;1;0 
305 318;5112;1459;1630;1038 1436 1459 1630 1665 1778;1;1;1;1;0 
305 318;5113;1459;2044;582 1459 1778 2044;1;1;1;1;0 
305 318;5130;1408;324;324 1408 1483 1679;1;1;1;1;0 
305 318;5143;43;2233;1 43 531 966 1497 2233;1;1;1;1;0 
305 318;5164;1511;1569;1038 1436 1511 1569;1;1;1;1;0 
305 318;5225;1585;730;179 730 1069 1585;1;1;1;1;0 
305 318;5238;1595;2015;313 587 766 1595 1599 2015;1;1;1;1;0 
305 318;5248;1612;828;611 828 1612 2135;1;1;1;1;0 
305 318;5261;1636;611;41 611 824 925 1636 1764;1;1;1;1;0 
305 318;5271;704;2203;277 704 1659 2203;1;1;1;1;0 
305 318;5276;1662;421;228 259 421 1662;1;1;1;1;0 
305 318;5294;1672;730;179 730 1069 1672;1;1;1;1;0 
305 318;5300;1676;1701;748 1676 1701 2169;1;1;1;1;0 
305 318;5330;1722;416;67 416 1033 1722;1;1;1;1;0 
305 318;5333;1722;1165;492 1165 1722 1850 2122;1;1;1;1;0 
305 318;5350;1764;828;828 1218 1764 1851;1;1;1;1;0 
305 318;5380;1778;1569;1038 1436 1569 1778;1;1;1;1;0 
305 318;5407;1825;1179;516 939 1179 1825 1960 2217;1;1;1;1;0 
305 318;5451;1874;531;1 531 966 1497 1874 2233;1;1;1;1;0 
305 318;5457;1369;594;178 594 1079 1369 1881;1;1;1;1;0 
305 318;5485;1905;2282;966 1905 2233 2282;1;1;1;1;0 
305 318;5541;1988;1013;233 1013 1988 2280;1;1;1;1;0 
305 318;5566;1233;1693;665 1233 1693 2029;1;1;1;1;0 
305 318;5616;2075;1619;657 1619 2023 2075;1;1;1;1;0 
305 318;5626;2088;1179;94 1179 2088 2217;1;1;1;1;0 
305 318;5637;2098;1412;1013 1412 1492 2098;1;1;1;1;0 
305 318;5666;2141;81;75 81 231 2141;1;1;1;1;0 
305 318;5690;2166;416;416 1106 1379 1850 2122 2166;1;1;1;1;0 
305 318;5704;2184;730;179 730 1069 2184;1;1;1;1;0 
305 318;5748;2250;1752;507 1316 1752 2250;1;1;1;1;0 
305 318;5754;708;2092;259 708 1662 2092 2256;1;1;1;1;0 
298 311;3933;4;5;4 5 1619 2023;1;1;1;1;1 
298 311;3942;1427;403;19 59 162 218 241 403 653 746 773 1034 1143 1172 1280 1316 1422 1423 1427 1567 1720 1752 1777 1871 2028 2033 2212;1;1;1;2;0 
298 311;3964;1874;966;1 43 531 966 1287 1497 1874;1;1;1;2;1 
298 311;3986;57;1104;57 649 1104 1350;1;1;1;1;1 
298 311;3993;69;1698;69 1408 1483 1573 1698;1;1;1;1;1 
298 311;3995;69;1179;69 1179 1710 2217;1;1;1;1;1 
298 311;4004;84;710;84 490 538 710 1237;1;1;1;1;1 
298 311;4023;2257;1863;33 99 1863 2257;1;1;1;1;1 
298 311;4026;745;826;99 745 826 1958 2257;1;1;1;1;1 
298 311;4089;180;1895;180 826 1895 2257;1;1;1;1;1 
298 311;4098;195;730;179 195 730 1069;1;1;1;2;1 
298 311;4134;251;1179;94 251 1179 2217;1;1;1;1;1 
298 311;4138;256;177;144 177 256 488;1;1;1;1;1 
298 311;4143;554;421;259 421 554 1662;1;1;1;1;1 
298 311;4146;267;1058;267 287 1058 1375;1;1;1;1;1 
298 311;4172;1246;1895;298 826 1246 1895 2257;1;1;1;2;1 
298 311;4221;342;1895;342 826 1895 2257;1;1;1;1;1 
298 311;4244;1497;2233;1 362 531 1497 2233;1;1;1;1;1 
298 311;4281;809;2027;443 809 952 1557 2027;1;1;1;1;1 
298 311;4283;448;2135;41 448 611 824 2135;1;1;1;1;1 
298 311;4288;126;1858;454 563 1485 1858;1;1;1;1;1 
298 311;4292;1386;181;181 367 457 1386 1896;1;1;1;1;1 
298 311;4293;20;1239;20 457 1239 1386 1517 1732;1;1;1;1;1 
298 311;4294;20;1858;20 457 1485 1858;1;1;1;1;1 
298 311;4320;498;1895;498 826 1895 2257;1;1;1;1;1 
298 311;4351;534;1104;534 649 1104 1261 1350;1;1;1;1;1 
298 311;4405;156;369;156 369 594 2099;1;1;1;1;1 
298 311;4460;655;1179;655 1179 2217 2220;1;1;1;1;1 
298 311;4534;745;1895;745 826 1895 2257;1;1;1;1;1 
298 311;4540;747;15;15 492 747 1165;1;1;1;1;1 
298 311;4549;757;720;317 422 720 757;1;1;1;1;1 
298 311;4621;855;325;325 732 855 1255;1;1;1;1;1 
298 311;4622;855;1268;855 1255 1268 1653;1;1;1;1;1 
298 311;4629;859;966;531 859 966 2233;1;1;1;1;1 
298 311;4639;885;208;208 324 885 1286;1;1;1;1;1 
298 311;4640;885;907;208 885 907 1286;1;1;1;1;1 
298 311;4645;885;85;85 885 1286 1921;1;1;1;1;1 
298 311;4665;1462;730;179 730 918 1069 1462 1531;1;1;1;2;1 
298 311;4683;925;2135;41 611 824 925 2135;1;1;1;1;1 
298 311;4741;1086;425;5 171 181 191 425 430 451 486 529 641 683 779 884 1022 1086 1123 1168 1189 1265 1373 1424 1435 1609 2023 2053 2247 2279;1;1;1;2;0 
298 311;4750;1720;1034;1034 1720 1937 2015;1;1;1;1;1 
298 311;4758;763;1315;763 1051 1117 1315;1;1;1;1;1 
298 311;4808;1096;867;867 1096 1123 1265 2053;1;1;1;1;1 
298 311;4829;1086;1123;1086 1123 1372 1513 1534 2055;1;1;1;1;0 
298 311;4833;1129;1104;649 1104 1129 1350;1;1;1;1;1 
298 311;4839;1134;2181;907 1134 1433 2130 2181;1;1;1;1;0 
298 311;4844;1147;2007;433 1147 1680 1868 2007 2197;1;1;1;1;0 
298 311;4845;1246;482;292 298 482 744 1153 1246;1;1;1;1;1 
298 311;4853;1159;2122;492 1159 1165 2122;1;1;1;1;1 
298 311;4874;1198;1104;649 1104 1198 1350;1;1;1;1;1 
298 311;4906;1221;966;531 966 1221 2233;1;1;1;1;1 
298 311;4919;911;1179;911 1179 1242 2217;1;1;1;1;1 
298 311;4937;1086;425;5 171 181 191 425 430 451 486 529 641 683 779 813 867 884 935 1010 1022 1086 1123 1189 1265 1335 1373 1424 1609 2023 2053 2247 2279;1;1;1;2;0 
298 311;4956;1278;177;144 177 256 1278;1;1;1;1;1 
298 311;5008;1311;476;476 932 1213 1311;1;1;1;1;1 
298 311;5014;2250;507;507 1316 1506 2250;1;1;1;1;1 
298 311;5016;1325;85;85 1325 1673 1921;1;1;1;1;1 
298 311;5052;143;1743;143 435 1390 1743 1818 1989 2276;1;1;1;1;1 
298 311;5063;1406;1364;316 828 1364 1406;1;1;1;1;1 
298 311;5069;1483;1698;1408 1483 1679 1698;1;1;1;1;1 
298 311;5084;1817;1224;488 1224 1429 1817;1;1;1;1;1 
298 311;5089;1432;410;395 410 1010 1432;1;1;1;1;1 
298 311;5090;1437;888;679 888 1437 1658 1660;1;1;1;1;1 
298 311;5112;1459;1038;1038 1436 1459 1630 1665 1778;1;1;1;1;1 
298 311;5113;1459;2044;582 1459 1778 2044;1;1;1;1;1 
298 311;5124;1914;145;8 145 151 152 159 314 454 585 649 945 1004 1005 1152 1388 1470 1719 1914;1;1;1;2;0 
298 311;5130;1483;324;324 1408 1483 1679;1;1;1;1;1 
298 311;5143;1497;966;1 43 531 966 1497 2233;1;1;1;2;1 
298 311;5164;1511;1569;1038 1436 1511 1569;1;1;1;1;1 
298 311;5198;1553;1389;144 177 256 1389 1553;1;1;1;1;0 
298 311;5225;1585;730;179 730 1069 1585;1;1;1;2;1 
298 311;5238;1595;1599;313 587 766 1595 1599 2015;1;1;1;1;1 
298 311;5248;1612;828;611 828 1612 2135;1;1;1;1;1 
298 311;5261;1636;611;41 611 824 925 1636 1764;1;1;1;1;1 
298 311;5271;1659;2203;277 704 1659 2203;1;1;1;1;1 
298 311;5276;228;421;228 259 421 1662;1;1;1;1;1 
298 311;5294;1672;730;179 730 1069 1672;1;1;1;2;1 
298 311;5333;1722;2122;492 1165 1722 1850 2122;1;1;1;2;1 
298 311;5342;428;1989;428 536 1684 1701 1749 1989;1;1;1;1;0 
298 311;5350;1764;828;828 1218 1764 1851;1;1;1;1;1 
298 311;5380;1778;1569;1038 1436 1569 1778;1;1;1;1;1 
298 311;5407;1825;1179;516 939 1179 1825 1960 2217;1;1;1;2;1 
298 311;5410;1827;1180;321 414 1131 1180 1827;1;1;1;1;0 
298 311;5451;1874;966;1 531 966 1497 1874 2233;1;1;1;1;1 
298 311;5457;1369;594;178 594 1079 1369 1881;1;1;1;1;1 
298 311;5485;1905;966;966 1905 2233 2282;1;1;1;1;1 
298 311;5541;1988;1013;233 1013 1988 2280;1;1;1;1;1 
298 311;5566;1233;1693;665 1233 1693 2029;1;1;1;1;1 
298 311;5616;2075;1619;657 1619 2023 2075;1;1;1;1;1 
298 311;5626;2088;1179;94 1179 2088 2217;1;1;1;1;1 
298 311;5637;2098;1013;1013 1412 1492 2098;1;1;1;1;1 
298 311;5666;231;75;75 81 231 2141;1;1;1;1;1 
298 311;5690;2166;416;416 1106 1379 1850 2122 2166;1;1;1;1;1 
298 311;5704;2184;730;179 730 1069 2184;1;1;1;2;1 
298 311;5748;1316;1752;507 1316 1752 2250;1;1;1;1;1 
298 311;5754;708;2256;259 708 1662 2092 2256;1;1;1;1;1 
291 304;3702;4;1679;4 377 1679 1831;1;1;1;1;0 
291 304;3711;688;2260;20 251 310 390 434 436 484 619 688 789 882 938 1154 1454 1550 1662 1721 1892 2260;1;1;1;1;0 
291 304;3714;2003;2004;7 24 414 1660 1814 1985 2003 2004 2172 2237;1;1;1;2;0 
291 304;3754;84;205;84 205 375 761;1;1;1;1;0 
