Years;Cluster Id;Cluster generic legend;Cluster specific legend;Terms id;Pseudo-Inclusion;Cluster Size;Density;Number of fathers;Number of sons 
174 174;1;895;831;8 21 313 720 748 831 867 895;1;1;1;1;0 
174 174;2;924;977;42 57 60 84 222 368 449 579 697 764 790 791 799 838 842 924 927 966 977 992;1;1;1;1;0 
174 174;3;881;993;346 395 881 993;1;1;1;0;0 
174 174;5;328;445;328 445 463 890;1;1;1;1;0 
174 174;6;51;326;51 294 326 434;1;1;1;1;0 
174 174;7;841;218;218 331 334 393 397 706 841 842 843 862;1;1;1;1;0 
174 174;8;574;218;218 314 574 679;1;1;1;0;0 
174 174;9;63;106;63 89 106 214 249 267 338 352 420 431 468 480 557 570 793 919 937;1;1;1;1;0 
174 174;10;875;676;32 115 546 676 875;1;1;1;1;0 
174 174;11;41;281;41 269 281 634;1;1;1;1;0 
174 174;12;508;201;201 410 508 555;1;1;1;0;0 
174 174;13;869;581;190 422 572 581 869 913;1;1;1;1;0 
174 174;16;423;478;20 321 423 478 844;1;1;1;1;0 
174 174;17;606;795;159 183 438 478 606 663 715 767 778 795 802 912;1;1;1;1;0 
174 174;18;965;688;643 688 731 965;1;1;1;1;0 
174 174;19;612;918;3 33 90 132 217 257 262 406 612 750 846 853 918 996;1;1;1;1;0 
174 174;20;392;282;82 171 282 392;1;1;1;0;0 
174 174;21;400;427;141 400 427 829 847;1;1;1;1;0 
174 174;22;480;38;38 431 480 948;1;1;1;0;0 
174 174;23;111;445;111 145 445 474;1;1;1;1;0 
174 174;24;878;312;54 55 135 213 312 418 484 600 604 654 743 751 878 942;1;1;1;1;0 
174 174;25;230;520;230 475 520 683 899;1;1;1;1;0 
174 174;26;408;993;26 58 60 368 408 550 754 835 839 842 877 927 993;1;1;1;1;0 
174 174;27;469;1000;269 271 469 1000;1;1;1;0;0 
174 174;28;446;763;45 164 186 192 341 446 712 763 778 920 950 996;1;1;1;0;0 
174 174;29;687;960;97 687 860 960;1;1;1;1;0 
174 174;30;988;124;117 124 201 681 988;1;1;1;0;0 
174 174;31;497;351;194 202 351 497 571 595;1;1;1;1;0 
174 174;32;480;300;13 300 480 948;1;1;1;0;0 
174 174;33;350;281;17 29 41 52 261 281 308 350 405 486 578 631 632 667 696 875 964;1;1;1;1;0 
174 174;34;666;993;34 95 242 255 299 331 591 666 690 877 901 993;1;1;1;1;0 
174 174;35;584;275;51 275 434 584 670;1;1;1;1;0 
174 174;36;423;482;324 423 482 844;1;1;1;0;0 
174 174;37;761;640;236 640 736 761;1;1;1;1;0 
174 174;38;612;132;132 306 386 612;1;1;1;0;0 
167 167;1;799;801;391 527 799 801;1;1;1;0;0 
167 167;2;350;516;17 29 41 52 227 261 308 350 405 516 578 631 696 830 875 922 960 964;1;1;1;2;1 
167 167;3;565;560;28 80 560 565;1;1;1;0;0 
167 167;4;293;116;116 293 311 698;1;1;1;1;0 
167 167;6;725;547;68 181 547 725;1;1;1;0;0 
167 167;9;453;85;85 319 453 917;1;1;1;1;0 
167 167;10;230;475;230 475 512 520 899;1;1;1;0;1 
167 167;11;41;281;41 281 559 634 907;1;1;1;1;1 
167 167;12;236;640;236 640 736 815;1;1;1;0;1 
167 167;13;883;619;619 883 921 998;1;1;1;0;0 
167 167;14;669;349;349 451 607 669;1;1;1;1;0 
167 167;15;444;937;444 541 874 937;1;1;1;1;0 
167 167;16;612;397;132 397 612 900;1;1;1;0;0 
167 167;17;463;445;328 445 463 890;1;1;1;1;1 
167 167;18;406;750;217 262 406 750 846;1;1;1;1;1 
167 167;19;469;116;116 287 469 548;1;1;1;0;0 
167 167;20;878;312;213 312 418 654 751 878 942;1;1;1;0;1 
167 167;21;666;255;34 95 242 255 299 302 591 666 690 803 901 993;1;1;1;0;1 
167 167;22;845;275;54 275 397 670 845 869;1;1;1;0;0 
167 167;23;954;420;63 420 618 954;1;1;1;0;0 
167 167;24;111;896;111 365 730 776 896;1;1;1;1;0 
167 167;25;408;993;26 58 60 368 408 550 754 839 877 927 993;1;1;1;1;1 
167 167;26;610;688;610 643 688 731 965;1;1;1;1;1 
167 167;27;642;201;201 568 642 794;1;1;1;1;0 
167 167;28;423;844;20 321 423 478 844;1;1;1;0;1 
167 167;29;692;801;366 513 692 721 801;1;1;1;0;0 
167 167;30;276;482;276 482 542 809;1;1;1;0;0 
167 167;31;669;97;97 101 451 669;1;1;1;0;0 
167 167;32;984;246;167 246 282 328 333 345 371 532 652 865 890 984;1;1;1;1;0 
167 167;33;991;292;284 292 662 714 991;1;1;1;1;0 
167 167;34;595;675;69 128 194 202 315 497 571 595 675 942 952;1;1;1;1;1 
167 167;35;635;255;35 255 363 635 803;1;1;1;0;0 
167 167;36;912;256;256 465 715 912;1;1;1;0;0 
167 167;37;912;183;183 438 715 912;1;1;1;0;1 
167 167;38;431;106;63 89 106 198 214 228 249 267 338 412 420 431 468 522 556 557 793 937;1;1;1;1;1 
